Sample_ID;Temperature;pH;Salinity;Turbidity;Dissolved_Oxygen;Nitrate;Chlorophyll_a;nutrient_index;pH_deviation;Rainfall_last_7_days_mm;Distance_to_pollution_source_km;Water_depth_m;Current_velocity_m_s;Phosphate_concentration_mg_L;BOD_mg_L;Distance_to_coast_km;Seagrass_or_algae_cover;is_safe
WQ01037;23.27;8.21;38.3;26.04;1.78;17.94;91.9;1648.686;1.21;86.972;13.104;42.333;0.54;0.382;0.784;16.995;High;0
WQ01038;31.22;8.4;31.1;37.55;12.56;3.35;18.29;61.2715;1.4;7.843;46.245;153.112;1.191;0.4151;9.055;28.696;High;1
WQ01039;30.42;8.07;30.99;10.79;6.8;9.9;45.56;451.044;1.07;37.835;38.878;49.791;0.954;0.2183;0.868;28.542;Low;1
WQ01040;29.82;8.56;37.89;34.75;7.31;8.59;50.58;434.4822;1.56;64.739;28.934;141.98;1.038;0.2881;6.344;83.936;Medium;1
WQ01041;;6.89;30.2;46.59;15.26;2.83;11.65;32.9695;0.11;94.887;34.934;116.537;0.354;0.4861;3.331;59.864;Medium;1
WQ01042;12.88;7.54;32.41;39.16;1.77;19.6;86.12;1687.952;0.54;38.25;46.254;197.277;1.455;0.4241;7.033;8.429;Medium;0
WQ01043;13.36;6.65;32.16;6.83;11.93;2.97;13.15;39.0555;0.35;75.107;35.764;199.98;0.994;0.2252;3.205;38.781;Low;1
WQ01044;26;8.78;38.11;13.66;1.76;23.13;78.6;1818.018;1.78;;18.735;174.166;0.304;0.334;0.854;55.677;Medium;0
WQ01045;11.16;8.11;35.03;24.77;2.09;24.87;89.63;2229.0981;1.11;73.904;35.795;152.477;1.128;0.3932;7.443;25.225;Low;0
WQ01046;14.45;7.22;33.44;40.51;13.59;2.16;10;21.6;0.22;27.955;2.494;;0.269;0.017;3.454;4.079;Low;1
WQ01047;10.18;6.74;35.97;0.82;12.28;;25.47;119.709;0.26;;19.628;151.149;0.104;0.2962;5.733;38.088;Low;1
WQ01048;21.06;6.92;32.33;49.05;0.47;-16.94;95.73;1621.6662;0.08;104.412;20.613;191.422;0.796;0.4923;7.852;46.173;Low;0
WQ01049;31.35;6.9;35.97;21.5;13.99;0.22;18.69;4.1118;0.1;2.552;8.758;6.629;0.835;0.4739;7.177;90.486;High;1
WQ01050;13.76;6.95;33.19;29.88;11.87;0;28.42;0;0.05;104.964;1.643;108.507;0.292;0.4171;3.811;90.846;Medium;1
WQ01051;29.82;7.29;30.09;26.09;14.5;0;13.3;0;0.29;63.472;7.102;45.164;0.529;0.0576;7.604;50.09;High;1
WQ01052;19.56;7.03;37.99;7.9;2.2;21.49;81.87;1759.3863;0.03;112.688;32.904;112.46;1.419;0.4971;9.294;47.202;Medium;0
WQ01053;25.48;6.8;38.17;27.53;1.7;25;78.96;1974;0.2;95.854;40.213;94.357;0.435;0.3067;6.295;64.086;High;0
WQ01054;24.33;6.65;35.4;43.61;8.04;8.19;49.48;405.2412;0.35;119.752;49.416;116.002;0.242;0.1153;7.183;25.887;Low;0
WQ01055;;8.62;39.76;10.91;3.95;16.4;79.36;1301.504;1.62;42.085;17.645;111.091;1.489;0.3388;8.726;28.643;High;0
WQ01056;12.92;6.82;30.46;27.3;13.45;1.54;23.73;36.5442;0.18;92.063;30.169;192.101;0.46;0.429;8.515;0.356;Low;1
WQ01057;20.23;6.89;32.58;25.6;2.1;21.42;81.01;1735.2342;0.11;48.232;46.889;;1.024;0.0606;3.84;7.913;High;0
WQ01058;20.93;7.15;31.34;31.66;9.97;2.99;14.73;44.0427;0.15;57.585;8.769;169.554;0.355;0.4586;9.921;17.933;Low;1
WQ01059;20.51;8.79;37.37;42.62;9.46;3.77;21.52;81.1304;1.79;75.301;36.023;65.324;0.83;0.4605;0.771;64.093;High;1
WQ01060;23.83;6.54;35.99;7.74;9.03;2.44;28.82;70.3208;0.46;104.841;37.871;88.744;0.586;0.0117;9.874;21.344;Low;1
WQ01061;13.26;7.82;33.67;28.12;12.82;1.53;11.92;18.2376;0.82;118.09;4.904;95.142;1.443;0.4507;2.837;12.495;Medium;1
WQ01062;11.27;7.2;30.49;3.55;3.35;;61.51;950.9446;0.2;92.193;43.132;57.188;0.655;0.4737;4.684;61.669;Low;0
WQ01063;24.86;6.97;33.52;6.74;8.58;6.01;34.17;205.3617;0.03;50.132;40.749;77.198;0.88;0.0237;8.895;65.21;High;1
WQ01064;17.23;7.15;34.62;13.32;3.66;19.22;74.21;1426.3162;0.15;50.563;2.153;120.506;1.418;0.1506;2.821;6.061;Medium;0
WQ01065;28.69;6.74;35.24;10.22;11.72;1.01;17.7;17.877;0.26;88.51;5.009;116.877;1.484;0.1897;2.635;77.313;Low;1
WQ01066;11.12;8.68;32.46;23.62;10.33;0.09;20.38;1.8342;1.68;28.653;2.932;128.014;0.161;0.1777;6.61;60.655;High;1
WQ01067;28.8;8.11;30.24;43.97;5.64;14.33;66.39;951.3687;1.11;13.257;17.07;71.66;1.253;0.3807;7.202;39.767;High;0
WQ01068;31.58;7.97;31.94;6.4;8.38;10.43;36.91;384.9713;0.97;42.555;25.71;64.535;0.579;0.1823;0.571;98.32;Low;1
WQ01069;19.34;7.226589808;33.27;38.56;1.19;;75.67;1826.6738;0.85;34.469;26.851;123.1;0.896;0.4785;4.779;1.119;Medium;0
WQ01070;26.92;8.44;31.76;15.54;9.02;6.1;21.77;132.797;1.44;35.557;13.75;28.307;0.569;0.4975;5.147;54.531;High;1
WQ01071;30.79;6.58;39.01;18.4;4.33;15.65;59.45;930.3925;0.42;28.033;45.624;52.1;0.608;0.1618;3.082;16.054;High;0
WQ01072;20.54;6.74;36.12;37.03;13.34;3.23;10;32.3;0.26;5.051;18.729;10.341;0.247;0.2569;5.688;33;High;1
WQ01073;25.8;7.66;39.41;37.8;3.66;16.36;63.79;1043.6044;0.66;2.145;2.755;16.377;0.863;0.2811;1.968;13.407;Medium;0
WQ01074;31.91;7.6;35.61;20.75;5.81;17.91;72.73;1302.5943;0.6;118.527;15.361;50.19;0.825;0.2918;3.574;66.855;Medium;0
WQ01075;14.97;6.7;36.22;48.65;1.47;24.63;96.59;2379.0117;0.3;51.333;26.79;5.867;0.292;0.1902;7.276;40.217;High;0
WQ01076;13.59;15.18837292;36.75;16.66;10.27;5.47;22.1;120.887;1.29;46.119;20.707;50.591;0.817;0.0872;8.801;98.631;High;1
WQ01077;24.18;6.56;35.94;14.53;13.44;0.74;21.31;15.7694;0.44;81.558;14.055;131.685;1.46;0.032;6.099;65.419;Medium;1
WQ01078;21.15;6.84;33.3;7.28;13.38;2.15;18.91;40.6565;0.16;26.19;7.001;14.099;1.074;0.0576;1.211;91.742;Medium;1
WQ01079;15.42;8.72;30.19;32.6;4.05;18.12;73.42;1330.3704;1.72;113.995;41.049;88.474;0.727;0.4511;6.948;24.159;Low;0
WQ01080;26.19;8.53;34.26;9.84;2.47;24.78;80.98;2006.6844;1.53;94.361;49.809;182.796;1.375;0.1438;9.027;31.947;Low;0
WQ01081;26.17;8.56;39.13;21.84;0.65;24.95;78.77;1965.3115;1.56;10.729;16.812;158.674;0.867;0.043;5.291;36.332;Low;0
WQ01082;21.83;7.17;31.55;39.12;1.38;18.61;93.19;1734.2659;0.17;50.11;19.39;;0.211;0.3136;5.19;83.868;Low;0
WQ01083;11.85849336;6.58;37.71;20.93;0;18.82;100;1882;0.42;105.494;31.093;185.111;0.826;0.0423;9.918;21.246;High;0
WQ01084;24.99;8.8;37.88;22.6;2.87;23.4;87.62;2050.308;1.8;113.368;36.063;67.27;0.28;0.0397;6.545;94.677;High;0
WQ01085;22.53;6.87;33.18;35.53;1.58;19.43;100;1943;0.13;56.088;19.905;16.358;1.154;0.3127;8.157;4.454;Low;0
WQ01086;16.56;8.28;33.93;7.39;7.54;4.03;29.37;118.3611;1.28;73.609;45.294;198.823;1.451;0.2977;6.642;88.997;High;1
WQ01087;13.1;7.24;35.58;0.67;5.28;16.07;73.47;1180.6629;0.24;;28.22;174.264;0.548;0.0255;2.599;45.196;Medium;0
WQ01088;30.1;7.98;35.64;3.99;13.12;-2.38;22.3;53.074;0.98;118.94;22.794;94.255;0.658;0.2329;3.199;52.637;Medium;1
WQ01089;11.84;7.01;38.91;18.41;3.17;23.31;88.32;2058.7392;0.01;27.801;32.51;133.943;0.638;0.2207;6.824;99.74;Low;0
WQ01090;19.34;8.04;35.22;46.61;7.47;8.77;45.65;400.3505;1.04;113.128;47.664;134.903;0.435;0.2756;4.833;87.018;High;0
WQ01091;22.66;7.41;33.07;20.65;12.98;2.99;13.21;39.4979;0.41;77.958;39.83;40.507;1.193;0.3702;4.341;90.412;Medium;1
WQ01092;21.7;8.57;37.38;13.69;2.17;17.94;74.33;1333.4802;1.57;72.928;2.481;41.61;0.93;0.145;0.713;58.595;High;0
WQ01093;21.97;6.51;39.21;26.79;2.31;20.31;73.23;1487.3013;0.49;61.523;16.949;94.977;0.105;0.2192;8.902;95.639;Medium;0
WQ01094;28.89;6.79;35.66;7.53;14;3.6;10;36;0.21;27.68;23.792;;1.26;0.3974;8.903;68.812;High;1
WQ01095;28.67;7.47;33.03;16.6;10.16;6.89;21.72;149.6508;0.47;21.183;16.069;3.979;0.289;0.4617;4.879;81.951;Medium;1
WQ01096;11.4;8.48;38.25;9.01;1.66;18.4;75.94;1397.296;1.48;26.458;35.159;156.936;1.469;0.4462;7.157;72.121;Medium;0
WQ01097;21.25;6.71;39.21;17.53;14.08;3.43;10;34.3;0.29;22.373;41.4;13.39;0.571;0.2414;2.189;78.113;Medium;1
WQ01098;24.82;7.91;38.92;4.39;10.21;;30.67;105.1981;0.91;93.55;36.702;96.688;0.929;0.2628;5.286;63.833;Low;1
WQ01099;25.99;6.66;33.2;34.77;5.97;9.78;40.07;391.8846;0.34;42.015;49.472;128.299;0.126;0.2669;4.669;72.668;High;0
WQ01100;26.91;8.27;37.45;31.51;3.28;15.97;64.53;1030.5441;1.27;6.941;13.991;137.978;0.524;0.435;6.738;43.65;Low;0
WQ01101;24.57;8.25;32.88;30.5;1.7;24.25;75.77;1837.4225;1.25;116.292;43.812;13.579;1.206;0.4208;4.962;70.716;High;0
WQ01102;21.12;7.59;37.22;25.39;3.89;15.14;75.66;1145.4924;0.59;106.054;38.448;;0.721;0.1592;5.235;27.753;Medium;0
WQ01103;13.91;8.35;31.48;13.59;10.74;2.8;11.41;31.948;1.35;111.33;18.428;117.6;1.358;0.0856;3.309;63.531;Low;1
WQ01104;24.04;8.8;35.24;13.94;1.46;19.49;70.17;1367.6133;1.8;;36.839;15.077;0.867;0.1926;0.96;52.423;Medium;0
WQ01105;12.16;7.39;39.92;28.66;12.29;1.97;22.04;43.4188;0.39;20.867;5.652;28.749;1.394;0.1478;9.212;89.864;Low;1
WQ01106;22.91;7.84;39.91;37.96;10.07;4.71;27.31;128.6301;0.84;;39.572;133.402;1.474;0.4756;0.616;67.355;High;1
WQ01107;13.04;7.63;37.81;33.19;3.43;17.24;68.63;1183.1812;0.63;90.989;26.85;;0.686;0.1366;3.173;59.702;High;0
WQ01108;21.92;8.51;37.32;40.42;13.67;2.71;16.09;43.6039;1.51;83.522;14.968;34.042;0.852;0.0947;4.752;31.376;High;1
WQ01109;29.01;8.79;33.85;19.87;2.98;23.24;75.49;1754.3876;1.79;18.468;32.961;107.977;1.254;0.4502;3.531;86.294;Medium;0
WQ01110;;8.68;35.29;35.56;13.42;1.37;32.83;44.9771;1.68;97.9;32.26;182.713;0.34;0.0478;5.743;5.51;Low;1
WQ01111;;7.05;32.34;3.88;10.64;;10;7.6;0.05;26.933;10.87;5.086;1.294;0.1338;4.885;89.985;Low;1
WQ01112;10.46;8.45;38.82;2.46;1.4;19.23;95.76;1841.4648;1.45;26.858;2.005;129.241;0.892;0.2224;2.927;65.332;Low;0
WQ01113;67.23347575;7.98;35.12;2.38;0;20.27;83.84;1699.4368;0.98;64.437;21.964;16.583;1.091;0.2996;1.336;19.03;Low;0
WQ01114;18.94;6.64;38.75;28.1;8.12;3.94;30.4;119.776;0.36;71.153;28.691;3.277;0.129;0.1672;1.807;90.309;Low;1
WQ01115;13.56;8.69;39.95;40.01;12.48;4;13.28;53.12;1.69;69.61;43.892;31.83;1.152;0.2506;5.12;32.703;Low;1
WQ01116;11.94;7.61;37.08;3.13;1.7;21.34;84.87;1811.1258;0.61;10.978;46.447;85.736;0.473;0.1034;8.536;16.91;High;0
WQ01117;29.73;7.24;30.88;3.38;10.72;4.7;27.57;129.579;0.24;105.295;26.676;160.864;1.21;0.2893;1.456;31.983;High;1
WQ01118;23.3;7.03;35.94;47.36;1.99;18.73;73.59;1378.3407;0.03;31.872;37.813;57.794;0.769;0.2069;6.933;96.111;Low;0
WQ01119;20.75;6.65;34.86;21.6;13.17;1.96;14.82;29.0472;0.35;15.542;22.246;125.883;0.419;0.4254;8.025;75.301;Low;1
WQ01120;31.36;7.67;36.39;29.03;12.78;;21.81;84.6228;0.67;106.65;37.431;83.409;1.43;0.2108;3.129;91.688;Low;1
WQ01121;25.4;8.18;35.15;37.17;0.48;18.37;98.75;1814.0375;1.18;114.678;10.638;48.398;1.15;0.2247;6.848;29.957;Low;0
WQ01122;25.35;7.75;35.54;34.55;5.14;18.21;68.11;1240.2831;0.75;103.455;18.868;103.821;1.479;0.2981;7.023;8.336;High;0
WQ01123;10.54;7.47;37.88;28.89;2.39;-20.74;81.87;1697.9838;0.47;97.142;31.894;159.898;0.553;0.066;7.224;56.319;Medium;0
WQ01124;29.02;7.76;33.8;48.85;10.75;1.84;13.47;24.7848;0.76;78.629;1.399;166.833;0.977;0.0826;8.963;48.352;High;1
WQ01125;18.94;6.83;37.15;15.02;10.49;6.64;34.97;232.2008;0.17;66.103;36.262;169.611;0.921;0.3962;4.286;72.088;Low;1
WQ01126;19.34;8.09;37.47;39.26;11.85;3.77;10;37.7;1.09;;41.859;69.034;1.034;0.1403;2.815;54.313;Low;1
WQ01127;11.26;6.7;32.63;18.67;11.64;0.31;12.95;4.0145;0.3;49.014;20.258;159.104;0.067;0.3439;5.667;39.707;High;1
WQ01128;10.3;7.2;30.65;46.34;2.14;25;96.86;2421.5;0.2;44.723;22.673;44.011;0.445;0.0532;1.094;0.568;High;0
WQ01129;30.43;8.07;30.18;27.09;10.59;7.38;33.34;246.0492;1.07;31.17;42.638;148.208;1.365;0.4118;3.672;46.828;Medium;1
WQ01130;29.98;10.40687165;30.75;6.85;3.32;21.02;81.1;1704.722;1.16;86.81;38.895;189.78;0.641;0.4942;8.891;12.152;Medium;0
WQ01131;18.61;7.49;38.73;10.66;4.55;17.94;69.08;1239.2952;0.49;59.505;14.763;4.721;1.441;0.19;5.555;92.208;High;0
WQ01132;18.3;7.25;30.22;46.28;0;20.91;94.16;1968.8856;0.25;9.726;16.537;89.192;0.328;0.2552;4.648;92.178;High;0
WQ01133;28.71;7.93;30.22;15.59;1.73;18.82;82.82;1558.6724;0.93;26.422;34.104;;1.496;0.2241;3.024;80.385;High;0
WQ01134;27.6;7.53;39.24;30.9;2.77;19.73;99.32;1959.5836;0.53;81.991;28.378;140.952;1.049;0.4476;2.879;15.871;Low;0
WQ01135;26.57;8.33;34.11;49.24;13.85;;10;21.1;1.33;9.136;8.53;36.865;1.167;0.0099;2.748;14.829;High;1
WQ01136;;8.49;33.12;10.96;0.97;17.31;86.33;1494.3723;1.49;102.145;15.842;;0.601;0.3285;8.378;56.375;Medium;0
WQ01137;18.88;8.36;35.35;18.21;2.09;19.95;88.58;1767.171;1.36;59.418;45.049;123.823;1.361;0.3279;9.858;72.773;Low;0
WQ01138;24.45;7.93;37.87;25.4;4.93;12.54;52.44;657.5976;0.93;57.67;34.565;34.539;0.823;0.1943;5.581;90.463;High;0
WQ01139;11.46;7.26;33.59;35.39;1.53;21.42;84.74;1815.1308;0.26;71.089;49.306;6.063;1.025;0.1136;1.258;89.414;Low;0
WQ01140;19.09;7.21;31.12;41.28;11.76;3.59;18.12;65.0508;0.21;98.962;38.467;157.086;0.151;0.1236;7.635;15.617;Low;1
WQ01141;12.81;6.7;35.9;47.83;14.35;3.43;15.09;51.7587;0.3;;47.128;17.782;0.951;0.4012;8.832;99.548;Low;1
WQ01142;12.73;8.65;36.38;1.84;13.82;1.45;26.24;38.048;1.65;81.362;11.201;29.928;1.32;0.0377;9.347;15.764;Medium;1
WQ01143;16.79;8.47;31.36;2.62;1.26;18.62;90.97;1693.8614;1.47;67.888;38.689;115.816;0.276;0.2841;6.473;84.028;Low;0
WQ01144;16.36;8.08;35.49;30.07;8.45;3.62;26.99;97.7038;1.08;32.043;1.501;121.494;1.109;0.1569;5.315;58.736;Medium;1
WQ01145;15.35;7.09;39.52;36.63;10.22;-0.85;26.85;22.8225;0.09;105.436;33.703;138.004;0.048;0.1363;6.395;67.861;Medium;1
WQ01146;16.58;8.35;35.34;39.8;8.78;5.72;31.23;178.6356;1.35;95.691;23.729;79.916;1.39;0.2553;0.623;60.437;Medium;1
WQ01147;29.22;6.81;30.83;49.64;2.69;25;85.47;2136.75;0.19;79.014;17.665;155.232;1.475;0.4494;6.726;86.981;Medium;0
WQ01148;23.4;6.51;39.9;18.51;14.63;2.88;18.21;52.4448;0.49;102.07;43.189;194.923;0.538;0.311;7.242;63.746;Low;1
WQ01149;26.67;8.37;31.1;37.17;3.03;22.73;91.75;2085.4775;1.37;104.075;42.786;55.677;0.17;0.3954;7.359;84.882;High;0
WQ01150;19.66;7.02;30.29;23.81;12.27;2.34;13.33;31.1922;0.02;85.004;1.604;141.2;0.991;0.3023;5.849;15.521;High;1
WQ01151;28.69;7.6;33.73;24.92;13.56;1.91;24.39;46.5849;0.6;100.442;30.671;185.837;0.054;0.3504;7.15;86.684;High;1
WQ01152;12.31;7.33;31.55;4.23;13.72;3.69;25.39;93.6891;0.33;83.697;18.708;137.885;0.729;0.219;6.569;99.296;High;1
WQ01153;24.9;6.95;32.09;24.41;5.28;15.55;60.46;940.153;0.05;;21.075;136.86;0.415;0.4634;1.598;66.185;High;0
WQ01154;11.85;7.61;39.69;43.89;2.63;17.36;100;1736;0.61;;41.686;46.307;0.715;0.2535;9.034;97.638;High;0
WQ01155;15.66;7.02;35.5;3.97;10.49;1.51;25.45;38.4295;0.02;90.326;15.837;107.956;0.037;0.2781;6.416;22.066;High;1
WQ01156;17.88;6.76;36.72;26.26;15.1;3.48;21.79;75.8292;0.24;19.033;47.181;113.38;0.087;0.2649;7.414;82.945;High;1
WQ01157;18.67;8.13;31.48;37.91;10.58;5.78;30.27;174.9606;1.13;105.704;9.392;140.626;0.034;0.1615;3.757;16.988;Medium;1
WQ01158;29.74;7;36.37;44.1;9.46;4.5;11.89;53.505;0;104.621;33.305;199.371;0.933;0.1195;9.233;51.643;Low;1
WQ01159;10.98;7.36;31.79;34.73;0.9;21.47;96.54;2072.7138;0.36;3.51;33.769;8.661;0.845;0.0415;5.275;66.437;Medium;0
WQ01160;24.64;8.79;34.67;16.82;4.12;15.5;62.22;964.41;1.79;99.098;12.984;14.916;0.357;0.3605;6.951;66.06;High;0
WQ01161;11.53;8.65;31.66;47.23;13.99;0;21.2;0;1.65;15.464;16.575;17.434;0.973;0.1482;9.546;67.119;High;1
WQ01162;11.09;6.62;31.15;8.57;5.98;15.33;61.21;938.3493;0.38;40.214;41.823;149.11;1.327;0.1977;9.203;32.16;High;0
WQ01163;13.52;7.97;33.97;1.28;2.08;19.2;77.39;1485.888;0.97;89.221;38.209;28.998;0.423;0.4604;6.626;97.375;Low;0
WQ01164;26.61;6.74;33.48;15.75;11.99;1.08;21.42;23.1336;0.26;19.291;16.79;125.245;1.25;0.2854;2.075;0.755;Medium;1
WQ01165;31.61;8.37;39.04;1.97;9.78;1.95;10.66;20.787;1.37;98.156;26.931;66.284;0.997;0.0531;9.53;62.138;Low;1
WQ01166;16.77;7.2;38.66;1.35;1.62;24.67;90.21;2225.4807;0.2;99.856;3.553;92.549;0.06;0.4008;9.849;86.624;Medium;0
WQ01167;25.88;7.04;39.75;33.41;10.27;3.43;23.18;79.5074;0.04;60.896;10.833;44.701;0.569;0.1318;1.482;89.122;Medium;1
WQ01168;10.24;7.09;32.16;5.99;6.12;14.56;57.94;843.6064;0.09;0.766;24.548;173.489;0.767;0.2786;4.778;72.049;High;0
WQ01169;27.57;8.23;37.71;25.21;11.61;2.83;12.65;35.7995;1.23;34.445;4.756;118.058;1.1;0.2574;5.708;57.524;Medium;1
WQ01170;17.44;6.79;33.92;8.55;14.97;1.79;11.73;20.9967;0.21;74.031;42.245;;0.438;0.1228;1.375;45.788;Medium;1
WQ01171;25.41;7.63;32.39;25.78;10.49;3.9;24.71;96.369;0.63;117.742;36.041;115.77;1.474;0.0623;2.302;45.007;Low;1
WQ01172;20.79;8.45;38.32;20.47;12.39;2.55;15.99;40.7745;1.45;75.818;47.21;26.534;1.03;0.1096;5.608;42.567;Medium;1
WQ01173;27.58;7.55;37.49;40.97;2.41;24.24;72.37;1754.2488;0.55;31.176;34.827;35.832;0.565;0.0532;9.649;70.019;Low;0
WQ01174;14.03;8.65;34.14;31.41;1.59;20.99;94.89;1991.7411;1.65;76.081;47.05;197.837;0.155;0.1414;0.764;73.148;Medium;0
WQ01175;27.98;8.45;35.81;34.1;1.37;19.9;97.29;1936.071;1.45;64.798;27.948;145.662;0.28;0.4987;9.168;51.525;Low;0
WQ01176;23.64;7.62;30.08;13.29;10.2;1.01;10.94;11.0494;0.62;93.581;30.211;11.757;0.737;0.204;9.037;74.107;High;1
WQ01177;20.96;7.78;37.19;11.81;15.35;3.08;18.73;57.6884;0.78;12.838;48.86;141.349;0.747;0.4326;8.643;52.893;Medium;1
WQ01178;24.91;7.25;34.68;34.25;13.73;2.82;13.36;37.6752;0.25;91.323;32.285;83.61;1.154;0.2768;4.087;9.825;Low;1
WQ01179;10.77;8.58;38.73;26.24;0.61;23.49;86.95;2042.4555;1.58;64.952;2.024;;1.092;0.335;5.163;85.176;Low;0
WQ01180;;12.34089766;39.29;3.89;3.27;22.36;87.31;1952.2516;0.41;115.559;36.328;32.504;0.31;0.0824;4.334;87.061;High;0
WQ01181;15.33;6.76;36.11;14.79;12.52;0.66;13.78;9.0948;0.24;41.025;45.321;168.301;0.896;0.141;9.502;26.719;High;1
WQ01182;51.67962495;7.17;32.34;26.86;8.5;4.33;17.28;74.8224;0.17;75.915;39.881;14.641;0.041;0.2577;5.453;78.665;Low;1
WQ01183;16.21;8.57;39.83;4.51;0.76;18.96;82.06;1555.8576;1.57;111.843;29.4;59.387;0.604;0.4412;1.266;51.166;Low;0
WQ01184;19.71;8.45;31.24;15.77;2.03;-22.18;87.01;1929.8818;1.45;12.301;33.73;62.664;1.149;0.0262;3.104;12.49;Low;0
WQ01185;15.94;7.15;39.7;2.4;12.34;3.16;23.05;72.838;0.15;112.467;49.514;33.859;0.605;0.2559;4.889;39.86;Medium;1
WQ01186;15.06;7.57;39.62;36.49;12.76;7.42;25.91;192.2522;0.57;;4.988;102.621;1.255;0.0303;9.559;7.748;Medium;1
WQ01187;20.17;7.09;37.72;37;3.06;22.57;70.62;1593.8934;0.09;8.14;33.529;4.317;1.464;0.2311;5.905;78.668;Low;0
WQ01188;24.03;6.88;38.11;9;1.88;23.67;93.79;2220.0093;0.12;36.116;14.528;61.593;0.915;0.3163;7.113;19.704;High;0
WQ01189;14.2;8.69;30.43;19.65;1.03;22.66;79.1;1792.406;1.69;84.981;32.184;186.859;0.226;0.3736;1.341;16.523;High;0
WQ01190;23.71;8.26;37.69;36.25;11.3;2.56;19.4;49.664;1.26;8.082;30.577;63.485;0.576;0.0736;8.835;20.933;High;1
WQ01191;12.52;8.42;30.28;41.78;10.91;3.74;16.1;60.214;1.42;69.86;8.096;73.371;0.024;0.0875;5.621;22.69;Medium;1
WQ01192;;8.12;32.84;8.5;3.12;13.29;72.96;969.6384;1.12;41.506;10.734;95.687;0.908;0.2377;9.252;67.428;High;0
WQ01193;29.97;7.78;36.32;12.36;0.43;24.67;74.67;1842.1089;0.78;74.51;31.271;113.215;1.234;0.499;4.732;63.896;High;0
WQ01194;29.73;8.33;30.29;44.12;11.57;0.1;21.09;2.109;1.33;5.489;6.847;162.124;0.949;0.1812;6.989;13.021;Low;1
WQ01195;;8.38;39.35;40.79;1.47;19.25;82.05;1579.4625;1.38;104.584;13.626;39.684;1.181;0.2166;4.973;72.469;High;0
WQ01196;19.63;6.95;36.81;40.88;6.99;10;42.39;423.9;0.05;116.819;41.845;174.606;1.202;0.2191;1.854;34.971;Medium;0
WQ01197;23.57;8.3;36.93;37.42;0.08;22.15;97.98;2170.257;1.3;116.265;16.691;151.995;1.278;0.0449;3.084;45.802;Medium;0
WQ01198;17.65;7.22;38.63;43.73;8.48;2.68;25.28;67.7504;0.22;89.958;24.659;145.085;0.407;0.3882;1.139;12.574;Low;1
WQ01199;26.23;7.29;31.2;25.49;5.91;12.39;74.97;928.8783;0.29;15.61;47.086;19.187;1.308;0.1303;4.683;70.892;Low;0
WQ01200;28.25;8.03;33;41.24;11.01;5.7;21.69;123.633;1.03;90.992;11.744;6.285;0.985;0.3533;6.669;37.685;Medium;1
WQ01201;23.63;8.63;39.53;37;1.74;23.19;100;2319;1.63;2.95;19.786;119.615;0.442;0.2402;2.815;63.25;Low;0
WQ01202;13.99;6.64;32.9;10.67;1.73;22.38;95.61;2139.7518;0.36;2.655;30.52;172.901;1.481;0.3078;5.159;42.779;Medium;0
WQ01203;18.18;7.86;33.23;32.02;10.51;1.54;26.21;40.3634;0.86;38.833;37.889;117.719;1.426;0.0317;4.86;4.982;High;1
WQ01204;13.36;8.41;33.55;14.44;13.35;0;16.74;0;1.41;58.637;45.132;44.221;0.866;0.4455;5.567;70.379;Medium;1
WQ01205;21.5;8.23;34.98;44.72;0;24.05;93.85;2257.0925;1.23;92.449;45.816;19.923;1.266;0.1257;2.254;55.296;Medium;0
WQ01206;21.88;7.24;39.23;10.02;2.18;25;80.28;2007;0.24;81.995;38.944;140.52;0.4;0.3367;5.573;43.481;High;0
WQ01207;30.34;7.99;39.37;13.08;2.89;24.39;91.75;2237.7825;0.99;53.508;11.802;144.911;0.63;0.4;3.96;20.235;High;0
WQ01208;27.94;7.78;35.48;15.04;2.72;22.76;98.52;2242.3152;0.78;32.835;1.728;36.161;0.284;0.2723;3.217;62.472;High;0
WQ01209;;6.66;34.47;28.53;0;23.07;92.03;2123.1321;0.34;119.655;19.497;7.582;0.785;0.172;6.067;27.592;Low;0
WQ01210;11.61;6.57;34.06;9.06;4.79;13.79;61.47;847.6713;0.43;51.142;7.507;82.84;0.749;0.4891;1.906;42.975;Low;0
WQ01211;10.52;7.38;38.39;17.26;1.45;19.85;78.99;1567.9515;0.38;54.166;35.664;117.378;0.327;0.1428;9.056;5.743;Low;0
WQ01212;18.98;8.01;39.52;26.67;14.28;2.62;22.97;60.1814;1.01;19.635;33.226;141.788;1.012;0.4746;9.381;77.697;Medium;1
WQ01213;;7.63;38.41;40.23;9.13;6.4;24.37;155.968;0.63;95.377;2.677;162.369;0.186;0.0823;6.776;9.095;High;1
WQ01214;79.84649304;7.82;35.88;9.63;9.53;2.92;21.69;63.3348;0.82;83.242;41.911;122.886;0.102;0.1977;3.38;89.095;Low;1
WQ01215;12.49;8.35;31.4;19.44;1.23;-19.92;85.14;1695.9888;1.35;26.492;12.813;;0.584;0.0736;6.447;86.771;Low;0
WQ01216;20.16;7.09;30.88;7.31;13.06;3.9;15.18;59.202;0.09;9.886;21.895;137.151;0.621;0.0061;6.214;97.112;Low;1
WQ01217;27.28;8.55;38;19.01;2.04;17.55;87.92;1542.996;1.55;;33.563;196.867;0.486;0.1338;4.217;90.853;Low;0
WQ01218;16.75;6.72;38.97;30.2;13.12;1.95;20.02;39.039;0.28;78.541;21.756;181.306;0.394;0.0482;3.229;97.144;High;1
